cell_id,manufacturer,chemistry_type,nominal_capacity_Ah,nominal_voltage_V,energy_density_Wh_per_kg,energy_density_Wh_per_L,manufacture_year,timestamp,cycle_number,voltage_V,current_A,power_W,c_rate,state_of_charge_%,depth_of_discharge_%,charge_capacity_Ah,discharge_capacity_Ah,coulombic_efficiency_%,internal_resistance_mOhm,dynamic_resistance_mOhm,open_circuit_voltage_V,cell_temperature_C,ambient_temperature_C,temperature_gradient_C,heat_generation_W,cooling_flow_rate,thermal_runaway_risk_index,max_temp_limit_C,state_of_health_%,capacity_fade_%,resistance_growth_%,calendar_age_days,cycle_age,energy_throughput_kWh,effective_energy_density_Wh_per_kg,degradation_rate_%,max_current_limit_A,min_current_limit_A,max_voltage_limit_V,min_voltage_limit_V,min_temp_limit_C,safety_margin_index,overcurrent_flag,undercurrent_flag,over_voltage_flag,under_voltage_flag,over_temperature_flag,under_temperature_flag,short_circuit_flag
CELL_001,PowerNova Systems,NCA,3.2,3.7,250,600,2020,2021-01-01 00:46:48,0,3.571488893783717,-3.4612620558183256,-12.361858990830145,-1.0816443924432266,50.00532327099486,49.99467672900514,3.1993005475888365,3.1993005475888365,99.49956284224302,55.01202446661131,54.007304935515464,3.6000638792519384,25.75285685811004,21.095224734468108,4.657632123641932,0.6590624831860524,1.223128759994577,0.2321286100830651,60,99.97814211215112,0.0218578878488671,10.024048933222616,0,0,0.0938609909455103,249.94535528037784,2.1662921554873247,6.0,-6.0,4.2,2.5,-20,0.4231229906969457,0,0,0,0,0,0,0
CELL_001,VoltCore Energy,NMC,3.2,3.7,250,600,2020,2021-01-01 01:30:08,0,3.587469844751333,-0.771151348680738,-2.766482209131468,-0.2409847964627306,49.99503804851302,50.00496195148698,3.1998346763969305,3.1998346763969305,99.49989667274808,50.002583314761374,48.25173303540541,3.599940456582156,23.967230796422367,31.003548004012195,-7.036317207589828,0.0297352563597684,1.810139617755189,0.0481311519604261,60,99.99483363740408,0.0051663625959292,0.0051666295227477,0,0,0.2049308711749195,249.98708409351016,0.5078338069393138,6.0,-6.0,4.2,2.5,-20,0.871474775219877,0,0,0,0,0,0,0
CELL_001,GreenLithium Tech,NMC,3.2,3.7,250,600,2020,2021-01-01 02:04:48,0,3.578437459896938,1.9903373289519224,7.122297655752773,0.6219804152974756,50.00421281149888,49.99578718850112,3.1995850365342093,3.1995850365342093,99.49974064783387,52.0067440308586,51.0002140400928,3.6000505537379865,26.42631394923524,23.60822303881285,2.8180909104223915,0.2060217356087114,1.2932197914706136,0.1369720810410567,60,99.98703239169404,0.0129676083059564,4.013488061717197,0,0,0.2777956953185388,249.9675809792351,1.2663679986285592,6.0,-6.0,4.2,2.5,-20,0.6682771118413463,0,0,0,0,0,0,0
CELL_001,ElectroCell Ltd,LFP,3.2,3.7,250,600,2020,2021-01-01 04:46:52,0,3.5729114514308504,-2.917571378556731,-10.42422418881224,-0.9117410557989786,50.00504322988004,49.99495677011996,3.1993900057242888,3.1993900057242888,99.49961875357768,45.008579679988344,43.36288175825059,3.6000605187585606,25.10755674751421,33.26478952713498,-8.157232779620774,0.3831230558509799,1.3352708302719312,0.1907632524792614,60,99.98093767888402,0.0190623211159817,-9.982840640023312,0,0,0.6306001995865694,249.95234419721004,1.806569684029226,6.0,-6.0,4.2,2.5,-20,0.5137381035738782,0,0,0,0,0,0,0
CELL_001,FutureCharge Inc,LFP,3.2,3.7,250,600,2020,2021-01-01 04:48:36,0,3.5866142740819136,-0.5980682307910145,-2.1450400534299687,-0.186896322122192,49.99138757852848,50.00861242147152,3.199859074353842,3.199859074353842,99.49991192147117,43.00189377177056,43.10312819489673,3.5998966509423416,25.059034906533174,29.078834585311668,-4.01979967877849,0.0153811585482127,1.507359360705375,0.0390286788330223,60,99.99559607355756,0.0044039264424355,-13.996212456458878,0,0,0.6338675693107528,249.98899018389392,0.4172360438119934,6.0,-6.0,4.2,2.5,-20,0.9003219615348309,0,0,0,0,0,0,0
CELL_001,FutureCharge Inc,LFP,3.2,3.7,250,600,2020,2021-01-01 05:11:08,0,3.603251878702044,-1.9331389719688603,-6.965586632538935,-0.6041059287402689,49.990874285637695,50.009125714362305,3.199590396205606,3.199590396205606,99.4997439976285,43.005504755602416,43.59566528040286,3.599890491427652,23.56958626532791,21.80321576855195,1.7663704967759593,0.1607127016690058,1.329047516802854,0.1186543900069983,60,99.98719988142518,0.0128001185748161,-13.988990488795167,0,0,0.6821950690830914,249.96799970356295,1.2077482536388846,6.0,-6.0,4.2,2.5,-20,0.6778101713385232,0,0,0,0,0,0,0
CELL_001,VoltCore Energy,NMC,3.2,3.7,250,600,2020,2021-01-01 07:09:00,0,3.6157046078649575,0.2279358846725179,0.8241488285081987,0.0712299639601618,49.991209087093765,50.008790912906235,3.1999016128230657,3.1999016128230657,99.4999385080144,50.00153734690686,50.62195174692311,3.599894509045125,24.36591035556497,27.490002431841557,-3.124092076276586,0.0025978182485733,1.2819868476384393,0.0144631909706952,60,99.9969254007208,0.003074599279202,0.0030746938137156,0,0,0.9534736757798408,249.992313501802,0.2840276470394514,6.0,-6.0,4.2,2.5,-20,0.9620106858879136,0,0,0,0,0,0,0
CELL_001,VoltCore Energy,NMC,3.2,3.7,250,600,2020,2021-01-01 08:31:20,0,3.627795781640625,-0.135882772034167,-0.4929549471831856,-0.0424633662606771,49.99169831094789,50.00830168905211,3.19990989011226,3.19990989011226,99.49994368132016,50.001408006644475,50.827857752381846,3.5999003797313747,26.011807134992587,25.739145597420713,0.2726615375718744,0.000923232384399,0.7795874931541925,0.009204574112294,60,99.99718406600812,0.0028159339918687,0.0028160132889496,0,0,1.140450837264238,249.99296016502032,0.2563824575297797,6.0,-6.0,4.2,2.5,-20,0.9773528713276388,0,0,0,0,0,0,0
CELL_001,ElectroCell Ltd,LFP,3.2,3.7,250,600,2020,2021-01-01 08:58:12,0,3.5792174213029115,-0.5324819896152262,-1.9058688137608537,-0.1664006217547581,49.9996554241556,50.0003445758444,3.199843823602077,3.199843823602077,99.4999023897513,45.002196337788334,44.38050603682595,3.599995865089867,24.23795686163546,28.93977258105418,-4.701815719418718,0.0127597908600861,1.4033344748516368,0.0336100924320095,60,99.9951194875649,0.0048805124350934,-9.995607324423332,0,0,1.2045972120847193,249.98779871891227,0.4422757077565442,6.0,-6.0,4.2,2.5,-20,0.9112530017307956,0,0,0,0,0,0,0
CELL_001,VoltCore Energy,NMC,3.2,3.7,250,600,2020,2021-01-01 17:12:12,0,3.5959475705530255,-2.2074913551136253,-7.938023175437647,-0.6898410484730079,49.988320648403686,50.011679351596314,3.1994314617289774,3.1994314617289774,99.4996446635806,50.008884989064825,49.92917409170837,3.599859847780844,24.64215002113805,24.87822713647944,-0.2360771153413878,0.2436942008574487,1.790547325607299,0.1416597217267585,60,99.98223317903054,0.0177668209694559,0.0177699781296496,0,0,2.371783374174084,249.95558294757635,1.4824214409224798,6.0,-6.0,4.2,2.5,-20,0.6320847741477291,0,0,0,0,0,0,0
CELL_001,VoltCore Energy,NMC,3.2,3.7,250,600,2020,2021-01-01 21:27:00,0,3.6314394287233047,6.826589546513836,24.79034644292069,2.1333092332855736,49.98974361326613,50.01025638673387,3.198476282090698,3.198476282090698,99.49904767630667,50.023819434238646,49.90201018163798,3.5998769233591936,27.43245584457068,18.537173770643346,8.895282073927337,2.331226282840412,1.3600508455510556,0.4876825945410119,60,99.9523838153343,0.0476161846656992,0.0476388684772928,0,0,2.9910936234757104,249.88095953833576,3.816928630516976,6.0,-6.0,4.2,2.5,-20,-0.1377649244189727,1,0,0,0,0,0,0
CELL_001,GreenLithium Tech,NMC,3.2,3.7,250,600,2020,2021-01-01 21:28:44,0,3.616368200471632,-2.526977842771144,-9.138482313893968,-0.7896805758659825,50.00036721010836,49.99963278989164,3.199320129764778,3.199320129764778,99.499575081103,52.01105023905004,51.78013465951078,3.6000044065213004,24.32057198687493,27.84797573794454,-3.5274037510696097,0.3321226475230572,1.3027029197270192,0.1600456940998789,60,99.97875405514934,0.0212459448506621,4.022100478100086,0,0,2.994144915795627,249.94688513787332,1.7026268078532478,6.0,-6.0,4.2,2.5,-20,0.5788370262048093,0,0,0,0,0,0,0
CELL_001,FutureCharge Inc,LFP,3.2,3.7,250,600,2020,2021-01-02 01:02:48,0,3.573046962268934,-2.3823525170741915,-8.51225742418569,-0.7444851615856848,49.978933013916546,50.021066986083454,3.199412553496585,3.199412553496585,99.49963284593537,43.00789526177836,42.79901318494869,3.5997471961669985,25.6575371613378,21.053972679438424,4.603564481899376,0.2440957615467245,1.525291828127726,0.1591804641620773,60,99.98164229676829,0.0183577032317145,-13.984209476443285,1,0,3.4833849454049566,249.9541057419207,1.42418178678934,6.0,-6.0,4.2,2.5,-20,0.6029412471543014,0,0,0,0,0,0,0
CELL_001,FutureCharge Inc,LFP,3.2,3.7,250,600,2020,2021-01-02 02:03:28,0,3.609336174065869,-4.733132980604478,-17.08346808355995,-1.4791040564388993,49.97535816252322,50.02464183747678,3.198937917403879,3.198937917403879,99.49933619837742,43.014276473258434,43.71768741696536,3.5997042979502787,24.718631911766533,32.823929978615965,-8.105298066849432,0.9636293852944507,1.4042379743197608,0.3046785727526158,60,99.96680991887122,0.0331900811287795,-13.971447053483132,1,0,3.6275940237242383,249.91702479717807,2.551774561413085,6.0,-6.0,4.2,2.5,-20,0.211144503232587,0,0,0,0,0,0,0
CELL_001,FutureCharge Inc,LFP,3.2,3.7,250,600,2020,2021-01-02 05:56:36,0,3.586024659708994,2.5573170023601746,9.17060183315667,0.7991615632375545,49.976779918583944,50.023220081416056,3.1993558645995277,3.1993558645995277,99.49959741537472,43.008657312094215,43.46139570882478,3.5997213590230075,26.400461875569498,38.59446951143027,-12.194007635860782,0.2812710384719132,1.7002512141111308,0.1758186198556131,60,99.97987076873524,0.0201292312647609,-13.98268537581157,1,0,4.153726296413405,249.9496769218381,1.4960409709967268,6.0,-6.0,4.2,2.5,-20,0.5737804996066376,0,0,0,0,0,0,0
CELL_001,VoltCore Energy,NMC,3.2,3.7,250,600,2020,2021-01-02 06:50:20,0,3.564930332611379,-2.399314577157845,-8.553389313586646,-0.7497858053618265,49.99230534903441,50.00769465096559,3.1992924037512354,3.1992924037512354,99.49955775234451,50.011058636715035,49.69310681067445,3.5999076641884127,24.370392826147818,24.202934257504925,0.1674585686428926,0.2878991833775378,0.927403563134732,0.1522714551011443,60,99.9778876172261,0.0221123827738978,0.0221172734300694,1,0,4.275711408732569,249.94471904306525,1.6309071498879768,6.0,-6.0,4.2,2.5,-20,0.6001142371403592,0,0,0,0,0,0,0
CELL_001,VoltCore Energy,NMC,3.2,3.7,250,600,2020,2021-01-02 07:27:36,0,3.654356888810904,-0.7102316194395591,-2.5954398111502774,-0.2219473810748622,49.994049094025904,50.005950905974096,3.199625633676112,3.199625633676112,99.49976602104758,50.00585015821769,48.95876497964807,3.599928589128311,24.307143728552965,27.567555392963833,-3.260411664410867,0.025224398651773,1.9628311770646905,0.0449575574330216,60,99.9883010523785,0.0116989476214968,0.0117003164353803,1,0,4.35624136820357,249.9707526309463,0.8583233764854595,6.0,-6.0,4.2,2.5,-20,0.8816280634267402,0,0,0,0,0,0,0
CELL_001,FutureCharge Inc,LFP,3.2,3.7,250,600,2020,2021-01-02 07:49:16,0,3.585761442573368,-1.5385431168962291,-5.516848586303149,-0.4807947240300715,49.97666014313131,50.02333985686869,3.199551299376621,3.199551299376621,99.4997195621104,43.00603026018338,41.69232168134781,3.5997199217175755,24.489156249737153,30.494974907296132,-6.005818657558979,0.1018002159884637,1.448230019551016,0.0981188093401806,60,99.9859781055194,0.0140218944806065,-13.98793947963324,1,0,4.387840836959686,249.96494526379848,1.025617053317557,6.0,-6.0,4.2,2.5,-20,0.7435761471839618,0,0,0,0,0,0,0
CELL_001,FutureCharge Inc,LFP,3.2,3.7,250,600,2020,2021-01-02 11:00:48,0,3.6038622478196087,-1.5079637043556229,-5.434493465209438,-0.471238657611132,49.99162184713356,50.00837815286644,3.199543271259129,3.199543271259129,99.49971454453696,43.00613816854233,42.47541108217737,3.599899462165603,26.809553028013877,20.629684369161996,6.1798686588518805,0.0977940028633042,0.9349525693237613,0.1052808148339643,60,99.9857272268478,0.0142727731522143,-13.987723662915345,1,0,4.836623330442068,249.96431806711948,1.0165792843457488,6.0,-6.0,4.2,2.5,-20,0.7486727159407296,0,0,0,0,0,0,0
CELL_001,VoltCore Energy,NMC,3.2,3.7,250,600,2020,2021-01-02 14:52:12,0,3.5736453480133528,-0.0357846532232708,-0.127881659521613,-0.0111827041322721,50.0007403703347,49.9992596296653,3.1997058030693553,3.1997058030693553,99.49981612691836,50.00459724969656,51.60013434835933,3.600008884444017,25.12764229654662,21.495898375751633,3.631743920794989,6.40329572840792e-05,1.7991310364652309,0.0023416249111987,60,99.99080634591736,0.0091936540826509,0.0091944993931178,1,0,5.358507420165344,249.97701586479337,0.6347016971108689,6.0,-6.0,4.2,2.5,-20,0.9940358911294548,0,0,0,0,0,0,0
CELL_001,VoltCore Energy,NMC,3.2,3.7,250,600,2020,2021-01-02 16:09:20,0,3.5947482910262547,-2.972631918747535,-10.6858635097678,-0.9289474746086048,50.001123436707665,49.998876563292335,3.1991089402829176,3.1991089402829176,99.49944308767682,50.01392668605096,50.86216534022578,3.600013481240492,24.22286965678033,21.349119669454005,2.873749987326324,0.4419500899434919,1.3907906151906684,0.1875147799619957,60,99.97215438384116,0.027845616158828,0.0278533721019158,1,0,5.5483160086462755,249.93038595960292,1.9028894869358597,6.0,-6.0,4.2,2.5,-20,0.5045613468754109,0,0,0,0,0,0,0
